busting				
humiliate	humilhar	/<span class="ipa dipa">hjuˈmɪl·iˌeɪt</span>/	[sound:6001-7000-cambridge-humiliate.mp3]	to make someone feel stupid or ashamed
hideous	horrendo,hediondo,horrendamente	/<span class="ipa dipa">ˈhɪd·i·əs</span>/	[sound:6001-7000-cambridge-hideous.mp3]	very ugly
hairy	peludo	/<span class="ipa dipa">ˈheər·i</span>/	[sound:6001-7000-cambridge-hairy.mp3]	covered in hair
Gunn				
finals				
experiences				
d'ya				
courts				
costumes				
Chilton				
Carrie				
captured				
bolt	tranca,trinco,ferrolho,parafuso,trancar,sair correndo	/<span class="ipa dipa">boʊlt</span>/	[sound:6001-7000-cambridge-bolt.mp3]	a metal bar that you push across a door or window to lock it
bluffing				
betting				
bein				
bedtime	hora de dormir	/<span class="ipa dipa">ˈbedˌtɑɪm</span>/	[sound:6001-7000-cambridge-usbedpo008.mp3]	the time that you usually go to bed
ay				
alpha	alfa	/<span class="ipa dipa">ˈæl.fə</span>/	[sound:6001-7000-cambridge-usad6063.mp3]	the first letter of the Greek alphabet
alcoholic	alcoólico,alcoólatra	/<span class="ipa dipa">ˌæl·kəˈhɔ·lɪk</span>/	[sound:6001-7000-cambridge-alcoholic.mp3]	containing alcohol
waters				
visual	visual	/<span class="ipa dipa">ˈvɪʒ·u·əl</span>/	[sound:6001-7000-cambridge-visual.mp3]	relating to seeing
vegetable	verdura,legume	/<span class="ipa dipa">ˈvedʒ·tə·bəl</span>, <span class="ipa dipa">ˈvedʒ·ə·tə·bəl</span>/	[sound:6001-7000-cambridge-vegetable.mp3]	a plant that you eat, for example a potato, onion, etc.
Vaughn				
tray	bandeja	/<span class="ipa dipa">treɪ</span>/	[sound:6001-7000-cambridge-tray.mp3]	a flat object with higher edges, used for carrying food and drinks
Thompson				
suspicions				
sticky	pegajoso,viscoso,adesivo	/<span class="ipa dipa">ˈstɪk·i</span>/	[sound:6001-7000-cambridge-sticky.mp3]	made of or covered with a substance that can stick to other things
spreading				
splendid	esplêndido,ótimo,esplendidamente	/<span class="ipa dipa">ˈsplen·dɪd</span>/	[sound:6001-7000-cambridge-splendid.mp3]	very good or very beautiful
smiles				
shrimp	camarão	/<span class="ipa dipa">ʃrɪmp</span>/	[sound:6001-7000-cambridge-shrimp.mp3]	a small sea animal that you can eat, with a curved body and a shell. A shrimp is smaller than a prawn.
shouting	gritaria	/<span class="ipa dipa">ˈʃaʊ.t̬ɪŋ</span>/	[sound:6001-7000-cambridge-usshort007.mp3]	shouts
roots				
ransom	valor do resgate	/<span class="ipa dipa">ˈræn·səm</span>/	[sound:6001-7000-cambridge-ransom.mp3]	the money that is demanded for the return of someone who is being kept as a prisoner
pressed	dispor de pouco tempo,dinheiro,espaço,etc.		[sound:6001-7000-cambridge-uscld01124.mp3]	to be in a difficult situation because you do not have enough time, money, space, etc.
nooo				
Liza's				
jew	judeu,judia	/<span class="ipa dipa">dʒu</span>/	[sound:6001-7000-cambridge-jew.mp3]	someone whose religion is Judaism, or who is related to the ancient people of Israel
intent	decidido,empenhado,intenção	/<span class="ipa dipa">ɪnˈtent</span>/	[sound:6001-7000-cambridge-intent.mp3]	giving a lot of attention to something
grieving	enlutado,aflito	/<span class="ipa dipa">ˈɡriː.vɪŋ</span>/	[sound:6001-7000-cambridge-uscld2s051.mp3]	feeling very sad because someone has died
gladly	com boa vontade,de bom grado	/<span class="ipa dipa">ˈɡlæd·li</span>/	[sound:6001-7000-cambridge-gladly.mp3]	If you would gladly do something, you would like to do it.
Georgia				
fling	jogar,lançar,arrojar	/<span class="ipa dipa">flɪŋ</span>/	[sound:6001-7000-cambridge-fling.mp3]	to suddenly throw something
eliminate	eliminar,erradicar		[sound:6001-7000-cambridge-eus75660.mp3]	to remove or take away someone or something
disorder	distúrbio,desordem	/<span class="ipa dipa">dɪsˈɔr·dər</span>/	[sound:6001-7000-cambridge-disorder.mp3]	a disease or mental problem
Courtney's				
cocaine	cocaína	/<span class="ipa dipa">koʊ-</span>/	[sound:6001-7000-cambridge-cocaine.mp3]	a drug used in medicine to prevent pain and also used illegally, often in the form of a white powder that is breathed in through the nose
chancellor	chanceler,reitor,-ora	/<span class="ipa dipa">ˈtʃæn.s<span class="sp dsp">ə</span>l.ɚ</span>/	[sound:6001-7000-cambridge-chancellor.mp3]	a person in a position of the highest or high rank, especially in a government or university
cereal	cereal matinal,cereal	/<span class="ipa dipa">ˈsɪər·i·əl</span>/	[sound:6001-7000-cambridge-cereal.mp3]	a food that is made from grain and eaten with milk, especially in the morning
arrives				
aaah				
yum				
Tracy				
technique	técnica	/<span class="ipa dipa">tekˈnik</span>/	[sound:6001-7000-cambridge-technique.mp3]	a particular way of doing something
subway	metrô,passagem subterrânea	/<span class="ipa dipa">ˈsʌbˌweɪ</span>/	[sound:6001-7000-cambridge-subway.mp3]	a system of trains that is built under a city
strain	tensão,peso,esforço,pressão,esforçar-se ao máximo,distender	/<span class="ipa dipa">streɪn</span>/	[sound:6001-7000-cambridge-strain.mp3]	the feeling of being worried and nervous about something
statements				
sonofabitch				
servant	criado,servente,empregado,serviçal	/<span class="ipa dipa">ˈsɜr·vənt</span>/	[sound:6001-7000-cambridge-servant.mp3]	someone who works and lives in someone else’s house, especially in the past
roads				
resident	residente,morador,-ora	/<span class="ipa dipa">ˈrez·ɪ·dənt</span>/	[sound:6001-7000-cambridge-resident.mp3]	someone who lives in a particular place
republican	republicano,-a		[sound:6001-7000-cambridge-republican.mp3]	a supporter of government by elected representatives of the people rather than government by a king or queen
paralyzed	ortografia americana de “paralysed”	/<span class="ipa dipa">ˈper.<span class="sp dsp">ə</span>l.aɪzd</span>/	[sound:6001-7000-cambridge-cdo0318uspara3548.mp3]	US spelling of  paralysed 
orb	orbe	/<span class="ipa dipa">ɔːrb</span>/	[sound:6001-7000-cambridge-usopera024.mp3]	something in the shape of a ball
lotta				
locks				
Lawrence				
guaranteed				
European				
dummy	idiota,palerma,chupeta	/<span class="ipa dipa">ˈdʌm·i</span>/	[sound:6001-7000-cambridge-dummy.mp3]	a stupid person
discipline	disciplina,castigar	/<span class="ipa dipa">ˈdɪs·ə·plən</span>/,/<span class="ipa dipa">ˈdɪs·ə·plɪn</span>/	[sound:6001-7000-cambridge-discipline.mp3]	the action of controlling people’s behaviour using rules and punishments
despise	desprezar	/<span class="ipa dipa">dɪˈspɑɪz</span>/	[sound:6001-7000-cambridge-despise.mp3]	to hate someone or something and have no respect for them or it
dental	dental	/<span class="ipa dipa">ˈden·t̬<span class="sp dsp">ə</span>l</span>/	[sound:6001-7000-cambridge-dental.mp3]	relating to the teeth
corporation	corporação	/<span class="ipa dipa">ˌkɔr·pəˈreɪ·ʃən</span>/	[sound:6001-7000-cambridge-corporation.mp3]	a large company or group of companies
Clint				
cherish	amar,,valorizar,guardar		[sound:6001-7000-cambridge-cherish.mp3]	to love, protect, and care for someone or something that is important to you
carries				
briefing	briefing,instruções		[sound:6001-7000-cambridge-briefing.mp3]	information that is given to someone just before they do something, or a meeting where this happens
bluff	blefar		[sound:6001-7000-cambridge-bluff.mp3]	to deceive someone by making them think either that you are going to do something when you really have no intention of doing it, or that you have knowledge that you do not really have, or that you are someone else
batteries				
atmosphere	clima,ambiente,a atmosfera	/<span class="ipa dipa">ˈæt·məsˌfɪər</span>/	[sound:6001-7000-cambridge-atmosphere.mp3]	the feeling that exists in a place or situation
assholes				
whatta				
tux				
Trent				
sounding				
servants				
rifle	rifle,fuçar,remexer	/<span class="ipa dipa">ˈrɑɪ·fəl</span>/	[sound:6001-7000-cambridge-eus73992.mp3]	a long gun that you hold against your shoulder when you shoot
presume	presumir,conjecturar,supor	/<span class="ipa dipa">prɪˈzum</span>/	[sound:6001-7000-cambridge-presume.mp3]	to think that something is probably true, although you are not certain
mamie				
Kevin's				
Heidi				
handwriting	caligrafia,letra	/<span class="ipa dipa">ˈhændˌrɑɪ·t̬ɪŋ</span>/	[sound:6001-7000-cambridge-handwriting.mp3]	the way that someone forms letters when they write with a pen or pencil
goals				
gin	gim	/<span class="ipa dipa">dʒɪn</span>/	[sound:6001-7000-cambridge-gin.mp3]	a strong alcoholic drink that has no colour
