underworld	<u><b>underworld</b></u>:submundo,inferno	1. the part of society consisting of criminal organizations and activities. <BR>2. in mythology, a place under the earth where the spirits of the dead go.			submundo,(2)mundo inferior,(2)inferno	(1105)submundo	submundo,inferno		o submundo,o mundo inferior	<b>underworld</b>   submundo																																				[sound:8001-9000/cambridge/8001-9000-cambridge-underworld.mp3]				(ˈʌn dərˌwɜrld)	ˈʌndəwɜːld						"<span class=""ipa dipa"">-dɚ.wɝːld</span>"																	
splash	<u><b>splash</b></u>:respingo. <u><b>to splash</b></u>:chapinhar.	1. If a liquid splashes or you splash a liquid, drops of it fall on something. <BR>2. to move in water so that drops of it go in all directions. <BR>3. a drop of liquid that has fallen on something, or the mark made by it. <BR>4. the sound of something falling into or moving in water.	"03.  To cause <font color=""#00aaff""><u>(something)</font></u> to scatter fluid in flying masses.<BR>06.  To make <font color=""#00aaff""><u>(one's way)</font></u> by or as if by splashing.<BR>08.  To propel or scatter <font color=""#00aaff""><u>(a fluid)</font></u> about in flying masses.<BR>09.  To scatter <font color=""#00aaff""><u>(liquid)</font></u> about in blobs; spatter."		respingo,(2)salpico	(53)inicial,(48)toque,(90)respingo,(31)salpicar	respingo,salpicar,espirrar,inicial,salpico		espirrar,salpicar,salpico,som de algo caindo ou se movendo na água																																					[sound:8001-9000/cambridge/8001-9000-cambridge-splash.mp3]				(splæʃ)	splæʃ						"<span class=""ipa dipa"">splæʃ</span>"																	
shade	<u><b>shade</b></u>:sombra,ilusão,máscara,obscuridade,tonalidade,matiz,quebra-luz,fantasma. <u><b>to shade</b></u>:matizar,sombrear.	1. an area where there is no light from the sun and it is darker. <BR>2. a colour, especially when saying how dark or light it is. <BR>3. a cover that you pull down over a window. <BR>4. to cover something in order to protect it from the sun.			(3)tom,sombra	(1951)sombra	tom,sombra		sombra,tom,persiana,cobrir																																					[sound:8001-9000/cambridge/8001-9000-cambridge-shade.mp3]				(ʃeɪd)	ʃeɪd						"<span class=""ipa dipa"">ʃeɪd</span>"																	
selfless	<u><b>selfless</b></u>:altruísta,abnegado.	1. caring more for what other people need and want rather than for what you yourself need and want.			(3)altruísta	(388)altruísta	altruísta,abnegado		abnegado,abnegadamente,abnegação	<b>selfless</b>  desinteressado																																				[sound:8001-9000/cambridge/8001-9000-cambridge-selfless.mp3]				(ˈsɛlf lɪs)	ˈselflɪs																							
secrecy	<u><b>secrecy</b></u>:sigilo,segredo,discrição.	1. the quality of being secret.			segredo,(3)sigilo	(1020)sigilo,(961)segredo	segredo,sigilo		segredo,sigilo,reserva	<b>secrecy</b>  sigilo																																				[sound:8001-9000/cambridge/8001-9000-cambridge-secrecy.mp3]				(ˈsi krə si)	ˈsiːkrɪsɪ						"<span class=""ipa dipa"">ˈsi·krə·si</span>"																	
restless	<u><b>restless</b></u>:impaciente,inquieto,agitado,buliçoso.	1. not able to stand or sit or relax because you are bored or nervous.			sem descanso,(3)inquieto,(3)agitado	(644)inquieto	irrequieto,inquieto,agitado		irrequieto	<b>restless</b>  <b>1.</b>  inquieto <b>2.</b> inquieto																																				[sound:8001-9000/cambridge/8001-9000-cambridge-restless.mp3]				(ˈrɛst lɪs)	ˈrestlɪs						"<span class=""ipa dipa"">ˈrest·ləs</span>"																	
metaphor	<u><b>metaphor</b></u>:metáfora.	1. an expression, often found in literature, that describes a person or object by referring to something that is considered to have similar characteristics to that person or object.			metáfora	(2196)metáfora	metáfora		metáfora	<b>metaphor</b>    metáfora																																				[sound:8001-9000/cambridge/8001-9000-cambridge-metaphor.mp3]				(ˈmɛt əˌfɔr, -fər)	ˈmetəfə						"<span class=""ipa dipa"">ˈmet̬.ə.fɔːr</span>"																	
messes					bagunça	(96)mexe,(78)se mete,(39)confusões,(31)bagunça	bagunça,confusões																																											(mɛs)	mes																							
meltdown	<u><b>meltdown</b></u>:fusão.	1. an extremely dangerous situation in a nuclear power station in which the nuclear fuel becomes very hot and melts through its container and escapes into the environment. <BR>2. a complete failure, especially in financial matters. <BR>3. an occasion when a person becomes extremely upset and is not able to deal with a problem or situation.			(3)fusão,derretimento	(185)colapso,(73)crise,(146)fusão	colapso,crise,derretimento		derretimento nuclear,crise	<b>meltdown</b>  derretimento nuclear																																				[sound:8001-9000/cambridge/8001-9000-cambridge-meltdown.mp3]				(ˈmɛltˌdaʊn)	ˈmeltdaʊn																							
hence	<u><b>hence</b></u>:daí,logo,daqui,desde que. <u><b>hence</b></u>:portanto	1. that is the reason or explanation for.			(2)por isso,(2)conseqüentemente,(2)daqui	(2321)portanto,(2867)daí,(1318)por isso,(1562)assim	conseqüentemente,assim		portanto,por isso	<b>hence</b>  <b>1.</b> por isso <b>2.</b> daqui <b>3.</b> daqui																																				[sound:8001-9000/cambridge/8001-9000-cambridge-hence.mp3]				(hɛns)	hens																							
gained			"01.  <font color=""#00aaff""><u>(tr)</font></u> to acquire <font color=""#00aaff""><u>(something desirable)</font></u>; obtain.<BR>02.  <font color=""#00aaff""><u>(tr)</font></u> to win in competition."		ganhou	(3272)ganhou																																												(geɪn)	geɪnz,geɪn,geɪnd																							
funding	<u><b>funding</b></u>:financiamento.	1. money given by a government or organization for an event or activity.			financiamento	(18432)financiamento	financiamento		financiamento																																					[sound:8001-9000/cambridge/8001-9000-cambridge-funding.mp3]					fʌnd,ˈfʌndɪŋ						"<span class=""ipa dipa"">ˈfʌn·dɪŋ</span>"																	
curl	<u><b>curl</b></u>:anel,onda,caracol,trivela. <u><b>to curl</b></u>:frisar,anelar,encrespar,enrodilhar.	1. something with a small, curved shape, especially a piece of hair. <BR>2. to make something into the shape of a curl, or to be this shape.	"01.  <font color=""#00aaff""><u>(intr)</font></u> <font color=""#00aaff""><u>(esp of hair)</font></u> to grow into curves or ringlets.<BR>14.  To twist <font color=""#00aaff""><u>(the hair, for example)</font></u> into ringlets or coils."		(3)enrolar,ondulação	(95)enrolar,(82)onda	enrolar,cacho,onda,ondulação		cacho,cachear,encaracolar(-se),enrolar(-se)																																					[sound:8001-9000/cambridge/8001-9000-cambridge-curl.mp3]				(kɜrl)	kɜːl						"<span class=""ipa dipa"">kɜrl</span>"																	
cam	<u><b>cam</b></u>:excêntrico,came,ressalto. <u><b>cam</b></u>:câmera,câmara		"01.  <font color=""#00aaff""><u>(Botany)</font></u> botany crassulacean acid metabolism.<BR>02.  <font color=""#00aaff""><u>(Computer Science)</font></u> computer-aided manufacture."		(2)ressalto,(2)excêntrico	(408)câmara,(243)câmera	ressalto,câmara																																											(kæm)	kæm																							
